Date,Solar (kWh)
2022-01-01,29.200000000000003
2022-01-02,84.33000000000001
2022-01-03,719.275
2022-01-04,632.588888888889
2022-01-05,266.2888888888889
2022-01-06,149.67222222222222
2022-01-07,965.1666666666666
2022-01-08,845.9666666666667
2022-01-09,2128.577777777778
2022-01-10,514.411111111111
2022-01-11,236.69444444444446
2022-01-12,768.7555555555556
2022-01-13,1233.6666666666667
2022-01-14,1281.038888888889
2022-01-15,1362.85
2022-01-16,311.23333333333335
2022-01-17,1220.572222222222
2022-01-18,677.7388888888888
2022-01-19,652.8111111111111
2022-01-20,1327.7611111111112
2022-01-21,470.11499999999995
2022-01-22,639.4166666666666
2022-01-23,456.4333333333334
2022-01-24,402.6333333333334
2022-01-25,748.845
2022-01-26,443.77
2022-01-27,1510.65
2022-01-28,2055.268181818182
2022-01-29,2055.268181818182
2022-01-30,1867.235
2022-01-31,368.70000000000005
2022-02-01,1517.8863636363637
2022-02-02,1104.8181818181818
2022-02-03,494.55555555555554
2022-02-04,891.0049999999999
2022-02-05,591.405
2022-02-06,1020.6227272727273
2022-02-07,1119.4863636363636
2022-02-08,1473.7227272727273
2022-02-09,830.3590909090909
2022-02-10,1832.0454545454545
2022-02-11,517.865
2022-02-12,1157.8
2022-02-13,2550.5409090909093
2022-02-14,2278.377272727273
2022-02-15,904.1409090909092
2022-02-16,1392.1954545454546
2022-02-17,1718.9727272727273
2022-02-18,820.9272727272728
2022-02-19,837.3
2022-02-20,597.4454545454545
2022-02-21,1850.6954545454544
2022-02-22,1006.3727272727273
2022-02-23,2130.6
2022-02-24,1832.0454545454545
2022-02-25,517.865
2022-02-26,1157.8
2022-02-27,2550.5409090909093
2022-02-28,2278.377272727273
2022-03-01,904.1409090909092
2022-03-02,1392.1954545454546
2022-03-03,1718.9727272727273
2022-03-04,820.9272727272728
2022-03-05,837.3
2022-03-06,597.4454545454545
2022-03-07,1850.6954545454544
2022-03-08,1006.3727272727273
2022-03-09,2130.6
2022-03-10,2553.0730769230768
2022-03-11,1956.430769230769
2022-03-12,2984.9000000000005
2022-03-13,1500.1269230769233
2022-03-14,1613.4346153846154
2022-03-15,3334.4346153846154
2022-03-16,3011.8153846153846
2022-03-17,2618.3999999999996
2022-03-18,2399.5730769230768
2022-03-19,2553.0730769230768
2022-03-20,1956.430769230769
2022-03-21,2984.9000000000005
2022-03-22,1500.1269230769233
2022-03-23,1613.4346153846154
2022-03-24,3334.4346153846154
2022-03-25,3011.8153846153846
2022-03-26,2618.3999999999996
2022-03-27,2399.5730769230768
2022-03-28,2984.9000000000005
2022-03-29,1500.1269230769233
2022-03-30,1613.4346153846154
2022-03-31,3334.4346153846154
2022-04-01,3011.8153846153846
2022-04-02,2618.3999999999996
2022-04-03,2399.5730769230768
2022-04-04,1683.1038461538462
2022-04-05,2113.4142857142856
2022-04-06,3738.307142857143
2022-04-07,3504.0499999999997
2022-04-08,3526.621428571428
2022-04-09,2185.4500000000003
2022-04-10,3606.0964285714285
2022-04-11,2049.8615384615387
2022-04-12,1754.2923076923075
2022-04-13,2273.4035714285715
2022-04-14,1326.5346153846153
2022-04-15,2490.8214285714284
2022-04-16,2939.7607142857146
2022-04-17,1935.5142857142857
2022-04-18,3809.907142857143
2022-04-19,822.6928571428572
2022-04-20,2510.5533333333337
2022-04-21,1098.98
2022-04-22,2143.075
2022-04-23,2806.05
2022-04-24,3384.9033333333336
2022-04-25,3478.47
2022-04-26,1312.89
2022-04-27,2247.4700000000003
2022-04-28,2303.7
2022-04-29,2825.7791666666667
2022-04-30,2700.95
2022-05-01,2949.3533333333335
2022-05-02,2433.7033333333334
2022-05-03,1972.8892857142857
2022-05-04,1501.7533333333333
2022-05-05,3226.04
2022-05-06,1137.45
2022-05-07,1161.45
2022-05-08,2992.6766666666667
2022-05-09,3080.271875
2022-05-10,2768.0733333333333
2022-05-11,
2022-05-12,3147.196875
2022-05-13,1449.9466666666667
2022-05-14,2677.571875
2022-05-15,2385.0866666666666
2022-05-16,947.3566666666667
2022-05-17,2226.509375
2022-05-18,2683.784375
2022-05-19,1897.4666666666667
2022-05-20,2514.01875
2022-05-21,2483.88125
2022-05-22,3776.225
2022-05-23,3454.09375
2022-05-24,2508.740625
2022-05-25,1505.203125
2022-05-26,3232.4100000000003
2022-05-27,1758.103125
2022-05-28,2108.85625
2022-05-29,1339.040625
2022-05-30,1794.95625
2022-05-31,2211.521875
2022-06-01,3697.53125
2022-06-02,2121.925
2022-06-03,2613.09375
2022-06-04,1214.9633333333334
2022-06-05,2149.58125
2022-06-06,2284.98125
2022-06-07,2256.5875
2022-06-08,2905.471875
2022-06-09,3184.778125
2022-06-10,718.26
2022-06-11,1327.6000000000001
2022-06-12,2694.997058823529
2022-06-13,869.9875
2022-06-14,2177.371875
2022-06-15,2036.6441176470587
2022-06-16,1672.9875
2022-06-17,2498.25
2022-06-18,638.621875
2022-06-19,1442.109375
